"DOCUMENTACIÓN","Tipo de interés. Nuevas operaciones. EC y EFC. TEDR. Hogares e ISFLSH. Tarjetas de crédito de pago aplazado"
"UNIDADES","Porcentaje"
"FRECUENCIA","Mensual"
"CÓDIGO DE IDENTIFICACIÓN","DN_1TI2T0116"
"NÚMERO SECUENCIAL","-"
"ALIAS","-"
"CÓDIGO DE UNIDADES","Porcentaje"
"EXPONENTE","-2"
"jun10",19.1504
"jul10",19.0675
"ago10",19.1498
"sep10",19.2937
"oct10",19.3160
"nov10",19.3392
"dic10",19.3205
"ene11",19.4450
"feb11",19.5967
"mar11",19.9333
"abr11",19.9591
"may11",19.9050
"jun11",19.8995
"jul11",19.8433
"ago11",20.0161
"sep11",20.2829
"oct11",20.5754
"nov11",20.4767
"dic11",20.4550
"ene12",20.3908
"feb12",20.3740
"mar12",20.4437
"abr12",20.6634
"may12",20.6404
"jun12",20.6229
"jul12",20.6149
"ago12",20.6091
"sep12",20.7012
"oct12",20.8708
"nov12",20.8879
"dic12",20.9002
"ene13",20.9827
"feb13",20.9038
"mar13",21.0616
"abr13",20.9480
"may13",20.9710
"jun13",20.8761
"jul13",20.8597
"ago13",20.8891
"sep13",20.8156
"oct13",20.8361
"nov13",20.7031
"dic13",20.6773
"ene14",20.9504
"feb14",20.9034
"mar14",21.0645
"abr14",21.0401
"may14",21.0643
"jun14",21.0029
"jul14",21.0302
"ago14",21.0069
"sep14",21.0793
"oct14",20.8161
"nov14",21.2570
"dic14",21.1749
"ene15",21.2331
"feb15",21.0800
"mar15",21.1988
"abr15",21.1390
"may15",21.2278
"jun15",21.1295
"jul15",21.2755
"ago15",21.2388
"sep15",21.1888
"oct15",21.1515
"nov15",21.0930
"dic15",21.1266
"ene16",21.0027
"feb16",20.9659
"mar16",20.9454
"abr16",20.9646
"may16",20.9723
"jun16",21.1300
"jul16",21.1111
"ago16",21.1074
"sep16",21.0505
"oct16",21.1384
"nov16",21.0468
"dic16",20.8385
"ene17",20.7551
"feb17",20.7906
"mar17",20.7888
"abr17",20.7123
"may17",20.7426
"jun17",20.8994
"jul17",20.8813
"ago17",20.8709
"sep17",20.8114
"oct17",20.7955
"nov17",20.7380
"dic17",20.7966
"ene18",20.8307
"feb18",20.7160
"mar18",20.7280
"abr18",20.6623
"may18",20.6935
"jun18",20.6209
"jul18",20.5934
"ago18",20.5304
"sep18",20.1976
"oct18",20.2136
"nov18",19.9963
"dic18",19.9800
"ene19",19.9522
"feb19",19.8761
"mar19",19.9164
"abr19",19.8896
"may19",19.8853
"jun19",19.8061
"jul19",19.7826
"ago19",19.7485
"sep19",19.6712
"oct19",19.6359
"nov19",19.6268
"dic19",19.6709
"ene20",19.8480
"feb20",19.8065
"mar20",18.9416
"abr20",18.6898
"may20",18.6814
"jun20",18.6038
"jul20",18.3674
"ago20",18.3630
"sep20",18.3446
"oct20",18.2481
"nov20",18.0982
"dic20",18.0559
"ene21",18.7365
"feb21",18.5700
"mar21",18.6316
"abr21",18.6585
"may21",18.5794
"jun21",18.5985
"jul21",18.5513
"ago21",18.6271
"sep21",18.4372
"oct21",18.5122
"nov21",18.4021
"dic21",18.4160
"ene22",18.3298
"feb22",18.1988
"mar22",18.0759
"abr22",18.1406
"may22",18.1299
"jun22",18.1478
"jul22",18.2151
"ago22",18.1641
"sep22",18.0111
"oct22",18.0097
"nov22",17.9938
"dic22",17.9923
"ene23",18.0361
"feb23",18.0344
"mar23",17.9725
"abr23",18.0526
"may23",18.0872
"jun23",18.0346
"jul23",18.0772
"ago23",18.1479
"sep23",18.2358
"oct23",18.1901
"nov23",18.1400
"dic23",18.2179
"ene24",18.4433
"feb24",18.3092
"mar24",18.3820
"abr24",18.4632
"may24",18.5307
"jun24",18.4865
"jul24",18.5641
"ago24",18.5547
"sep24",18.5355
"oct24",18.6190
"nov24",18.5349
"dic24",18.5419
"ene25",18.5704
"feb25",18.4460
"mar25",18.4909
"abr25",18.4810
"may25",18.4394
"jun25",18.3618
"jul25",18.4051
"ago25",18.3619
"sep25",18.3482
"oct25",18.3387
"nov25",18.2876
"dic25",18.3235
"ene26",18.3648
"feb26",18.2412
"mar26",18.3000
"FUENTE","-"
"NOTAS",""