"DOCUMENTACIÓN","Tipo de interés. Nuevas operaciones. EC y EFC. TEDR. Hogares e ISFLSH. Crédito al consumo"
"UNIDADES","Porcentaje"
"FRECUENCIA","Mensual"
"CÓDIGO DE IDENTIFICACIÓN","DN_1TI2T0138"
"NÚMERO SECUENCIAL","-"
"ALIAS","-"
"CÓDIGO DE UNIDADES","Porcentaje"
"EXPONENTE","-2"
"ene03",8.2362
"feb03",8.0552
"mar03",7.5799
"abr03",7.8739
"may03",7.5407
"jun03",7.4435
"jul03",7.2358
"ago03",7.9367
"sep03",7.9750
"oct03",7.5579
"nov03",7.6578
"dic03",7.9863
"ene04",7.8061
"feb04",7.5427
"mar04",7.3955
"abr04",7.8448
"may04",7.2183
"jun04",7.1061
"jul04",7.2735
"ago04",7.9788
"sep04",7.9334
"oct04",7.6790
"nov04",7.6918
"dic04",7.7978
"ene05",8.1300
"feb05",6.8009
"mar05",7.5603
"abr05",7.4385
"may05",7.7454
"jun05",7.4065
"jul05",7.3146
"ago05",7.8237
"sep05",7.8837
"oct05",7.8541
"nov05",7.5602
"dic05",7.7732
"ene06",8.1092
"feb06",7.6035
"mar06",7.5742
"abr06",8.2026
"may06",8.0830
"jun06",8.0608
"jul06",8.1292
"ago06",8.8807
"sep06",8.8175
"oct06",8.6735
"nov06",8.5815
"dic06",8.8381
"ene07",8.9044
"feb07",8.7781
"mar07",8.7817
"abr07",8.9830
"may07",9.0157
"jun07",9.2323
"jul07",9.0061
"ago07",9.5164
"sep07",9.6892
"oct07",9.1981
"nov07",9.5560
"dic07",9.5260
"ene08",9.9633
"feb08",9.7671
"mar08",9.8343
"abr08",9.8228
"may08",9.9808
"jun08",10.0884
"jul08",10.0022
"ago08",11.1469
"sep08",10.9555
"oct08",10.6764
"nov08",10.8267
"dic08",10.4829
"ene09",11.0767
"feb09",10.2689
"mar09",9.7322
"abr09",10.1414
"may09",9.8878
"jun09",9.6192
"jul09",9.8557
"ago09",10.7039
"sep09",10.5270
"oct09",9.7625
"nov09",9.7016
"dic09",9.2766
"ene10",10.1531
"feb10",9.7351
"mar10",9.1616
"abr10",9.2510
"may10",9.3020
"jun10",6.7012
"jul10",6.9217
"ago10",7.1070
"sep10",7.2314
"oct10",7.1152
"nov10",7.1924
"dic10",6.9232
"ene11",7.6909
"feb11",7.8911
"mar11",7.8508
"abr11",7.5363
"may11",7.9385
"jun11",7.3551
"jul11",7.8985
"ago11",8.1297
"sep11",8.5890
"oct11",8.7389
"nov11",8.2317
"dic11",8.5681
"ene12",9.5647
"feb12",9.2392
"mar12",8.8190
"abr12",8.6440
"may12",8.5649
"jun12",7.5914
"jul12",8.5339
"ago12",8.8637
"sep12",8.7438
"oct12",8.5604
"nov12",8.4468
"dic12",7.7618
"ene13",8.8232
"feb13",8.9812
"mar13",8.9613
"abr13",8.9184
"may13",9.0290
"jun13",8.7277
"jul13",9.2290
"ago13",9.4608
"sep13",9.2194
"oct13",9.1558
"nov13",9.1356
"dic13",8.9007
"ene14",9.0081
"feb14",9.1979
"mar14",8.9272
"abr14",8.8230
"may14",8.9368
"jun14",8.6728
"jul14",8.7144
"ago14",9.0228
"sep14",9.0847
"oct14",8.9859
"nov14",9.1067
"dic14",7.7380
"ene15",8.1378
"feb15",8.2120
"mar15",7.9237
"abr15",7.8141
"may15",7.9586
"jun15",7.7834
"jul15",8.0043
"ago15",8.2210
"sep15",8.2138
"oct15",8.0777
"nov15",7.6485
"dic15",7.5550
"ene16",8.1429
"feb16",7.8929
"mar16",7.8874
"abr16",7.4356
"may16",7.6467
"jun16",7.6647
"jul16",8.0543
"ago16",8.1064
"sep16",7.9795
"oct16",7.7037
"nov16",7.0099
"dic16",7.1234
"ene17",7.7190
"feb17",7.7699
"mar17",7.8541
"abr17",7.5823
"may17",7.6841
"jun17",7.3531
"jul17",7.5072
"ago17",7.6676
"sep17",7.8180
"oct17",7.7938
"nov17",7.0657
"dic17",7.2444
"ene18",7.7186
"feb18",7.3013
"mar18",7.6285
"abr18",7.8625
"may18",7.7188
"jun18",7.1165
"jul18",7.3776
"ago18",7.5597
"sep18",7.5295
"oct18",7.5843
"nov18",6.7517
"dic18",6.9194
"ene19",7.4364
"feb19",7.2158
"mar19",7.4327
"abr19",7.3181
"may19",7.4789
"jun19",7.0663
"jul19",7.2713
"ago19",7.4077
"sep19",7.3568
"oct19",7.2672
"nov19",6.4217
"dic19",6.6609
"ene20",7.2909
"feb20",6.8403
"mar20",7.0301
"abr20",6.4500
"may20",6.4820
"jun20",6.6406
"jul20",6.9552
"ago20",7.0287
"sep20",6.7293
"oct20",6.4796
"nov20",5.8235
"dic20",6.3184
"ene21",6.4257
"feb21",6.3460
"mar21",6.5386
"abr21",6.6778
"may21",6.6803
"jun21",6.6108
"jul21",6.7610
"ago21",7.0695
"sep21",6.6748
"oct21",6.3415
"nov21",5.6942
"dic21",6.0957
"ene22",6.6021
"feb22",6.2726
"mar22",6.5526
"abr22",6.6513
"may22",6.6443
"jun22",6.5890
"jul22",6.8221
"ago22",7.0919
"sep22",6.9841
"oct22",7.2462
"nov22",6.8925
"dic22",7.1253
"ene23",7.6699
"feb23",7.5480
"mar23",7.9451
"abr23",8.0663
"may23",7.9605
"jun23",7.8558
"jul23",8.0528
"ago23",8.2791
"sep23",8.1383
"oct23",8.2298
"nov23",7.4482
"dic23",7.6878
"ene24",8.0593
"feb24",7.8063
"mar24",7.7755
"abr24",7.9114
"may24",7.7838
"jun24",7.6560
"jul24",7.6253
"ago24",7.8198
"sep24",7.5126
"oct24",7.4102
"nov24",6.8845
"dic24",6.9739
"ene25",7.1992
"feb25",7.1105
"mar25",7.0467
"abr25",7.0382
"may25",6.9683
"jun25",6.8878
"jul25",6.9238
"ago25",7.1233
"sep25",6.8689
"oct25",6.7874
"nov25",6.4052
"dic25",6.5435
"ene26",6.8852
"feb26",6.8024
"mar26",6.8400
"FUENTE","-"
"NOTAS",""