"DOCUMENTACIÓN","Tipo de interés. Nuevas operaciones. EC y EFC. TEDR. SNF. Otros créditos hasta 250 mil euros. Tipo medio ponderado"
"UNIDADES","Porcentaje"
"FRECUENCIA","Mensual"
"CÓDIGO DE IDENTIFICACIÓN","DN_1TI2T0120"
"NÚMERO SECUENCIAL","-"
"ALIAS","-"
"CÓDIGO DE UNIDADES","Porcentaje"
"EXPONENTE","-2"
"jun10",3.6476
"jul10",3.7807
"ago10",3.7607
"sep10",3.7754
"oct10",3.9299
"nov10",3.9707
"dic10",3.9614
"ene11",4.1106
"feb11",4.3531
"mar11",4.5190
"abr11",4.5771
"may11",4.6374
"jun11",4.6622
"jul11",4.7787
"ago11",4.7222
"sep11",4.9752
"oct11",5.1712
"nov11",5.2799
"dic11",5.1703
"ene12",5.3268
"feb12",5.2327
"mar12",5.2964
"abr12",5.6523
"may12",5.4180
"jun12",5.4978
"jul12",5.5867
"ago12",5.7039
"sep12",5.4143
"oct12",5.4271
"nov12",5.3843
"dic12",5.2152
"ene13",5.4437
"feb13",5.4629
"mar13",5.3958
"abr13",5.7196
"may13",5.6660
"jun13",5.3962
"jul13",5.4786
"ago13",5.2781
"sep13",5.2769
"oct13",5.3672
"nov13",5.2478
"dic13",5.1172
"ene14",5.3222
"feb14",5.1780
"mar14",5.4664
"abr14",5.2877
"may14",5.1167
"jun14",4.9310
"jul14",4.8680
"ago14",4.7467
"sep14",4.5252
"oct14",4.4859
"nov14",4.3337
"dic14",4.1785
"ene15",4.3363
"feb15",4.0835
"mar15",3.8982
"abr15",3.8892
"may15",3.7385
"jun15",3.5429
"jul15",3.6107
"ago15",3.5817
"sep15",3.5144
"oct15",3.4856
"nov15",3.3874
"dic15",3.2625
"ene16",3.5166
"feb16",3.3642
"mar16",3.2384
"abr16",3.1593
"may16",3.0142
"jun16",2.6659
"jul16",2.8240
"ago16",2.7112
"sep16",2.6802
"oct16",2.7194
"nov16",2.6287
"dic16",2.6351
"ene17",2.7148
"feb17",2.5601
"mar17",2.5323
"abr17",2.5608
"may17",2.4782
"jun17",2.4119
"jul17",2.4558
"ago17",2.4425
"sep17",2.4231
"oct17",2.3667
"nov17",2.3602
"dic17",2.3327
"ene18",2.2848
"feb18",2.2379
"mar18",2.2722
"abr18",2.1797
"may18",2.1628
"jun18",2.1647
"jul18",2.1099
"ago18",2.1385
"sep18",2.1140
"oct18",2.1079
"nov18",2.1353
"dic18",2.0499
"ene19",2.1272
"feb19",2.1000
"mar19",2.0899
"abr19",2.1138
"may19",2.0394
"jun19",2.0200
"jul19",2.1096
"ago19",1.9622
"sep19",1.9700
"oct19",2.1130
"nov19",1.9382
"dic19",1.8740
"ene20",2.2614
"feb20",1.9421
"mar20",1.8370
"abr20",1.8846
"may20",1.9334
"jun20",1.9316
"jul20",1.9714
"ago20",1.8534
"sep20",1.9151
"oct20",1.9728
"nov20",1.8814
"dic20",1.8682
"ene21",2.1700
"feb21",1.9127
"mar21",1.8460
"abr21",2.1246
"may21",1.8019
"jun21",1.7974
"jul21",1.8531
"ago21",1.6751
"sep21",1.7296
"oct21",1.8784
"nov21",1.7354
"dic21",1.6883
"ene22",1.9182
"feb22",1.6952
"mar22",1.7191
"abr22",1.9127
"may22",1.7628
"jun22",1.7885
"jul22",1.9910
"ago22",1.9605
"sep22",2.4651
"oct22",2.9837
"nov22",3.2848
"dic22",3.5330
"ene23",3.8714
"feb23",4.0567
"mar23",4.3041
"abr23",4.5358
"may23",4.6636
"jun23",4.8487
"jul23",4.8431
"ago23",5.2585
"sep23",5.3966
"oct23",5.3124
"nov23",5.4451
"dic23",5.3331
"ene24",5.1491
"feb24",5.3420
"mar24",5.3166
"abr24",5.1152
"may24",5.1883
"jun24",5.1208
"jul24",4.8623
"ago24",4.8581
"sep24",4.7143
"oct24",4.4334
"nov24",4.3934
"dic24",4.1136
"ene25",4.0181
"feb25",4.0746
"mar25",3.5861
"abr25",3.5349
"may25",3.4027
"jun25",3.2677
"jul25",3.2446
"ago25",3.2609
"sep25",3.2034
"oct25",3.2841
"nov25",3.3505
"dic25",3.2176
"ene26",3.2611
"feb26",3.3323
"mar26",3.3179
"FUENTE","-"
"NOTAS",""