"DOCUMENTACIÓN","Tipo de interés. Nuevas operaciones. EC y EFC. TEDR. SNF. Otros créditos más de 1 millón de euros. Tipo medio ponderado"
"UNIDADES","Porcentaje"
"FRECUENCIA","Mensual"
"CÓDIGO DE IDENTIFICACIÓN","DN_1TI2T0128"
"NÚMERO SECUENCIAL","-"
"ALIAS","-"
"CÓDIGO DE UNIDADES","Porcentaje"
"EXPONENTE","-2"
"jun10",2.3818
"jul10",2.3514
"ago10",2.3326
"sep10",2.2169
"oct10",2.5246
"nov10",2.3293
"dic10",2.5807
"ene11",2.6464
"feb11",2.9471
"mar11",2.9054
"abr11",3.2139
"may11",2.9517
"jun11",2.9167
"jul11",3.1335
"ago11",3.2077
"sep11",3.1242
"oct11",3.1604
"nov11",3.0048
"dic11",3.3577
"ene12",2.7913
"feb12",2.9635
"mar12",2.7743
"abr12",3.0200
"may12",3.4127
"jun12",3.1582
"jul12",2.7667
"ago12",2.5137
"sep12",2.3329
"oct12",2.4600
"nov12",2.4819
"dic12",2.7208
"ene13",2.6725
"feb13",2.8338
"mar13",2.6720
"abr13",2.8427
"may13",3.0250
"jun13",2.5988
"jul13",2.9117
"ago13",2.6487
"sep13",2.2845
"oct13",3.1289
"nov13",3.5191
"dic13",2.7290
"ene14",2.7921
"feb14",2.8791
"mar14",2.8166
"abr14",2.9347
"may14",2.7508
"jun14",2.8778
"jul14",2.7860
"ago14",2.8724
"sep14",2.7924
"oct14",2.6296
"nov14",2.3324
"dic14",1.9868
"ene15",2.2571
"feb15",2.1128
"mar15",2.0987
"abr15",2.2189
"may15",2.1029
"jun15",2.2948
"jul15",1.9576
"ago15",1.6653
"sep15",1.9899
"oct15",1.7153
"nov15",1.9305
"dic15",1.9582
"ene16",1.8116
"feb16",1.7159
"mar16",1.7555
"abr16",1.7687
"may16",1.7124
"jun16",1.6809
"jul16",1.7128
"ago16",1.3829
"sep16",1.8420
"oct16",1.5528
"nov16",1.6196
"dic16",1.5961
"ene17",1.5511
"feb17",1.4816
"mar17",1.6283
"abr17",1.7831
"may17",1.6338
"jun17",1.7253
"jul17",1.5571
"ago17",1.5828
"sep17",1.6586
"oct17",1.6208
"nov17",1.6723
"dic17",1.5112
"ene18",1.2315
"feb18",1.6436
"mar18",1.5954
"abr18",1.6468
"may18",1.5478
"jun18",1.6726
"jul18",1.6414
"ago18",1.5215
"sep18",1.6072
"oct18",1.3050
"nov18",1.7636
"dic18",1.5318
"ene19",1.3401
"feb19",1.4237
"mar19",1.7152
"abr19",1.6151
"may19",1.5215
"jun19",1.3519
"jul19",1.5151
"ago19",1.5265
"sep19",1.4448
"oct19",1.3662
"nov19",1.4292
"dic19",1.2264
"ene20",1.3633
"feb20",1.4657
"mar20",1.2465
"abr20",1.5057
"may20",1.7079
"jun20",1.5048
"jul20",1.7292
"ago20",1.4362
"sep20",1.3241
"oct20",1.3868
"nov20",1.2582
"dic20",1.3697
"ene21",1.1203
"feb21",1.1229
"mar21",1.2622
"abr21",1.4445
"may21",1.3809
"jun21",1.3149
"jul21",1.3689
"ago21",1.3275
"sep21",1.3337
"oct21",1.3222
"nov21",1.2039
"dic21",1.0370
"ene22",1.0248
"feb22",0.8265
"mar22",0.9937
"abr22",0.9226
"may22",1.0776
"jun22",1.2833
"jul22",1.4663
"ago22",1.2654
"sep22",2.1841
"oct22",2.6740
"nov22",2.9037
"dic22",3.2616
"ene23",3.3976
"feb23",3.8686
"mar23",3.9360
"abr23",4.1858
"may23",4.3422
"jun23",4.4502
"jul23",4.8705
"ago23",4.8970
"sep23",4.7013
"oct23",5.1405
"nov23",4.9608
"dic23",4.9893
"ene24",4.9199
"feb24",4.6873
"mar24",4.7299
"abr24",4.9569
"may24",4.9595
"jun24",4.7136
"jul24",4.7227
"ago24",4.7767
"sep24",4.4430
"oct24",4.2419
"nov24",4.1476
"dic24",4.0089
"ene25",3.7493
"feb25",3.7797
"mar25",3.5085
"abr25",3.4553
"may25",3.3852
"jun25",3.1272
"jul25",3.3397
"ago25",3.2620
"sep25",3.2063
"oct25",3.1983
"nov25",3.3332
"dic25",3.3514
"ene26",3.4269
"feb26",3.2463
"mar26",3.2172
"FUENTE","-"
"NOTAS",""